solver_id,true_archetype,strategy_naked_single,strategy_hidden_single,strategy_naked_pair,strategy_hidden_pair,strategy_naked_triple,strategy_pointing_pair,strategy_x_wing,strategy_swordfish,strategy_xy_wing,strategy_forcing_chain,strategy_guess_backtrack,strategy_pattern_overlay,count_naked_single,count_hidden_single,count_naked_pair,count_hidden_pair,count_naked_triple,count_pointing_pair,count_x_wing,count_swordfish,count_xy_wing,count_forcing_chain,count_guess_backtrack,count_pattern_overlay,avg_time_per_move,pause_frequency,thinking_time_variance,total_solving_time,total_errors,error_rate,correction_time,same_error_repeated,error_recovery_efficiency,hints_used_total,hint_dependency_ratio,hints_per_puzzle,give_up_rate,persistence_score,verification_checks,verification_rate,success_rate,avg_puzzle_difficulty,strategy_diversity,advanced_strategy_ratio,basic_strategy_ratio,total_puzzles_attempted,total_moves,session_count
0,Systematic_Beginner,0.3870246085011186,0.38926174496644295,0.05592841163310962,0.06040268456375839,0.029082774049217,0.020134228187919462,0.0044742729306487695,0.015659955257270694,0.011185682326621925,0.0022371364653243847,0.011185682326621925,0.013422818791946308,173,174,25,27,13,9,2,7,5,1,5,6,37.12575117766424,0.1857950438856023,37.30613442845352,16595.210776415915,14,0.03131991051454139,67.5645599260259,5,0.6428571428571429,11,0.22,0.22,0.05984306179345622,0.9407872245808042,4,0.008948545861297539,0.89994497432284,1,1.0,0.058165548098434,0.7762863534675615,50,447,29
1,Systematic_Beginner,0.3924611973392461,0.37472283813747226,0.082039911308204,0.050997782705099776,0.011086474501108648,0.015521064301552107,0.017738359201773836,0.011086474501108648,0.0022172949002217295,0.0066518847006651885,0.011086474501108648,0.024390243902439025,177,169,37,23,5,7,8,5,1,3,5,11,26.781106958953206,0.23909782081294614,5.162386908965977,12078.279238487896,13,0.028824833702882482,23.25299705898516,5,0.6153846153846154,11,0.22,0.22,0.014897345306132424,0.9434467570680446,6,0.013303769401330377,0.8458435245600485,1,1.0,0.07317073170731707,0.7671840354767184,50,451,25
2,Systematic_Beginner,0.4110576923076923,0.3605769230769231,0.06971153846153846,0.021634615384615384,0.019230769230769232,0.028846153846153848,0.01201923076923077,0.009615384615384616,0.021634615384615384,0.014423076923076924,0.016826923076923076,0.014423076923076924,171,150,29,9,8,12,5,4,9,6,7,6,15.17487576430735,0.16266205196608838,42.48710181598053,6312.748317951858,9,0.021634615384615384,22.62838230581838,2,0.7777777777777778,4,0.08,0.08,0.07780608992669831,0.9534966602398294,14,0.03365384615384615,0.8455222901328774,1,1.0,0.0889423076923077,0.7716346153846154,50,416,21
3,Systematic_Beginner,0.3416289592760181,0.35294117647058826,0.10180995475113122,0.049773755656108594,0.01583710407239819,0.033936651583710405,0.027149321266968326,0.01583710407239819,0.02262443438914027,0.00904977375565611,0.01809954751131222,0.011312217194570135,151,156,45,22,7,15,12,7,10,4,8,5,29.629388937716143,0.4006430877209991,29.851860632541825,13096.189910470535,10,0.02262443438914027,13.364770269448472,2,0.8,10,0.2,0.2,0.06522245599354268,0.955144149819602,12,0.027149321266968326,0.6856463840298582,2,1.0,0.10407239819004525,0.6945701357466063,50,442,23
4,Systematic_Beginner,0.4236559139784946,0.33548387096774196,0.0967741935483871,0.03655913978494624,0.010752688172043012,0.017204301075268817,0.017204301075268817,0.008602150537634409,0.008602150537634409,0.012903225806451613,0.023655913978494623,0.008602150537634409,197,156,45,17,5,8,8,4,4,6,11,4,6.144566784852666,0.14768125134472784,11.734600116376539,2857.2235549564894,10,0.021505376344086023,20.983183578233692,5,0.5,8,0.16,0.16,0.11616319035756188,0.9120524603502268,4,0.008602150537634409,0.6932496273327486,3,1.0,0.07956989247311828,0.7591397849462366,50,465,32
5,Systematic_Beginner,0.38565022421524664,0.32286995515695066,0.10538116591928251,0.05829596412556054,0.02242152466367713,0.013452914798206279,0.02466367713004484,0.004484304932735426,0.008968609865470852,0.02242152466367713,0.008968609865470852,0.02242152466367713,172,144,47,26,10,6,11,2,4,10,4,10,17.737840283039745,0.07037242464726588,27.908089498212657,7911.076766235727,11,0.02466367713004484,47.04586248663446,4,0.6363636363636364,4,0.08,0.08,0.015042671095404178,0.9498236590750838,8,0.017937219730941704,0.7669897785528008,1,1.0,0.09192825112107623,0.7085201793721974,50,446,17
6,Systematic_Beginner,0.3956692913385827,0.34448818897637795,0.07677165354330709,0.06496062992125984,0.013779527559055118,0.03346456692913386,0.007874015748031496,0.007874015748031496,0.017716535433070866,0.013779527559055118,0.011811023622047244,0.011811023622047244,201,175,39,33,7,17,4,4,9,7,6,6,2.701307930185,0.2522962817817854,67.47545903867795,1372.26442853398,14,0.027559055118110236,1.3881881595936836,1,0.9285714285714286,7,0.14,0.14,0.1238329312714815,0.9501048739943636,11,0.021653543307086614,0.8242869971961011,3,1.0,0.07086614173228346,0.7401574803149606,50,508,35
7,Systematic_Beginner,0.391304347826087,0.35196687370600416,0.06625258799171843,0.041407867494824016,0.043478260869565216,0.024844720496894408,0.012422360248447204,0.008281573498964804,0.020703933747412008,0.016563146997929608,0.018633540372670808,0.004140786749482402,189,170,32,20,21,12,6,4,10,8,9,2,53.91390507926547,0.2513723087391529,4.118997538916824,26040.416153285223,6,0.012422360248447204,30.722521532274193,1,0.8333333333333334,6,0.12,0.12,0.04686604513634145,0.9691028464100248,5,0.010351966873706004,0.7548272626147957,1,1.0,0.08074534161490683,0.7432712215320911,50,483,28
8,Hybrid_Sys_Spe,0.45496535796766746,0.3195381062355658,0.0781986143187067,0.05048498845265589,0.011085450346420323,0.02047113163972286,0.006928406466512702,0.002771362586605081,0.004157043879907622,0.005542725173210162,0.0389284064665127,0.006928406466512702,184,144,42,22,8,9,5,2,3,4,5,5,14.50258635026305,0.35727271699979934,11.005168991295154,6279.619889663901,16,0.03695150115473441,27.92499025401628,3,0.8125,4,0.08,0.08,0.0,0.9509704325588965,5,0.011547344110854504,0.7334315173486665,3,1.0,0.05542725173210162,0.7575057736720554,50,433,30
9,Hybrid_Sys_Spe,0.44539614561027835,0.33456102783725905,0.05468950749464668,0.045695931477516064,0.014132762312633832,0.031126338329764452,0.001284796573875803,0.001284796573875803,0.011563169164882226,0.015417558886509634,0.03713918629550321,0.007708779443254817,191,167,27,20,11,18,1,1,9,12,4,6,35.66766688959932,0.14304223804968597,42.12758206410022,16656.800437442882,10,0.021413276231263382,22.21127869038133,2,0.8,10,0.2,0.2,0.1100606961081973,0.941838492539569,12,0.02569593147751606,0.630725459099219,3,1.0,0.07066381156316917,0.7665952890792291,50,467,27
